2025-03-22 11:12:48,014 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2025-03-22 11:12:48,018 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-03-22 11:12:48,018 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-03-22 11:12:48,093 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2025-03-22 11:12:48,166 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-03-22 11:12:48,174 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@b6b1987, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6b44435b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2ccca26f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@66b7550d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3543df7d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7c541c15, org.springframework.test.context.event.EventPublishingTestExecutionListener@3542162a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@698122b2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4212a0c8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1e7aa82b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b2c0e88, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5bd82fed, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@c1bd0be]
2025-03-22 11:12:48,359 [main] INFO  c.example.demo.DemoApplicationTests - Starting DemoApplicationTests using Java 17.0.12 on DESKTOP-T79U3K4 with PID 35772 (started by naples in C:\Users\naples\Desktop\Vue\demo\demo-start)
2025-03-22 11:12:48,359 [main] INFO  c.example.demo.DemoApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-03-22 11:12:49,311 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-03-22 11:12:49,472 [main] INFO  c.example.demo.DemoApplicationTests - Started DemoApplicationTests in 1.267 seconds (JVM running for 1.968)
2025-03-25 14:02:38,789 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2025-03-25 14:02:38,794 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-03-25 14:02:38,794 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-03-25 14:02:38,869 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2025-03-25 14:02:38,949 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-03-25 14:02:38,957 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@b6b1987, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6b44435b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2ccca26f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@66b7550d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3543df7d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7c541c15, org.springframework.test.context.event.EventPublishingTestExecutionListener@3542162a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@698122b2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4212a0c8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1e7aa82b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b2c0e88, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5bd82fed, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@c1bd0be]
2025-03-25 14:02:39,176 [main] INFO  c.example.demo.DemoApplicationTests - Starting DemoApplicationTests using Java 17.0.12 on DESKTOP-T79U3K4 with PID 19148 (started by naples in C:\Users\naples\Desktop\Vue\demo\demo-start)
2025-03-25 14:02:39,176 [main] INFO  c.example.demo.DemoApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-03-25 14:02:40,122 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-03-25 14:02:40,297 [main] INFO  c.example.demo.DemoApplicationTests - Started DemoApplicationTests in 1.314 seconds (JVM running for 2.051)
2025-03-25 14:15:21,558 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2025-03-25 14:15:21,562 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-03-25 14:15:21,563 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-03-25 14:15:21,626 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2025-03-25 14:15:21,699 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2025-03-25 14:15:21,706 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@b6b1987, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6b44435b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2ccca26f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@66b7550d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3543df7d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7c541c15, org.springframework.test.context.event.EventPublishingTestExecutionListener@3542162a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@698122b2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4212a0c8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1e7aa82b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b2c0e88, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5bd82fed, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@c1bd0be]
2025-03-25 14:15:21,913 [main] INFO  c.example.demo.DemoApplicationTests - Starting DemoApplicationTests using Java 17.0.12 on DESKTOP-T79U3K4 with PID 18344 (started by naples in C:\Users\naples\Desktop\Vue\demo\demo-start)
2025-03-25 14:15:21,914 [main] INFO  c.example.demo.DemoApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-03-25 14:15:22,852 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2025-03-25 14:15:23,033 [main] INFO  c.example.demo.DemoApplicationTests - Started DemoApplicationTests in 1.303 seconds (JVM running for 1.955)
2025-03-26 16:38:34,940 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2025-03-26 16:38:34,945 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2025-03-26 16:38:34,945 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-03-26 16:38:35,013 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2025-03-26 16:38:35,087 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
